,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,SIE
302,Draymond Green,GSW,2022-2023,46,54.34782608695652,31.73913043478261,7.934782608695652,0.25,3.130434782608696,6.086956521739131,51.42857142857142,0.5869565217391305,1.8043478260869563,32.53012048192771,1.0869565217391304,1.5869565217391304,68.4931506849315,0.8043478260869565,6.652173913043479,7.456521739130435,6.8478260869565215,2.5434782608695654,2.6923076923076925,0.9130434782608696,0.782608695652174,0.5625,0.5847110085864411,114.62599179206563,109.55095759233924,5.075034199726403,3.0,140,10.164295485636115,1.0478213395179952
303,Josh Okogie,PHX,2022-2023,46,50.0,13.021739130434783,5.0,0.3839732888146911,1.565217391304348,4.108695652173913,38.095238095238095,0.4782608695652174,1.7173913043478262,27.848101265822784,1.391304347826087,2.0,69.56521739130434,1.434782608695652,1.5869565217391304,3.0217391304347827,1.1956521739130437,0.8478260869565217,1.4102564102564104,0.5652173913043478,0.4565217391304347,0.4391534391534391,0.5011329963395503,109.44156928213688,104.35959933222038,5.081969949916498,1.391304347826087,41,7.236894824707844,0.9136093999727051
304,Jaren Jackson Jr.,MEM,2022-2023,35,62.85714285714285,27.02857142857143,16.542857142857144,0.6120507399577167,5.885714285714286,11.742857142857142,50.12165450121656,1.5142857142857142,4.171428571428572,36.3013698630137,3.257142857142857,4.171428571428572,78.08219178082192,1.8571428571428568,4.828571428571428,6.685714285714286,0.8571428571428571,1.5142857142857142,0.5660377358490566,1.0,3.257142857142857,0.5656934306569343,0.6091658951266729,115.71940928270044,104.12436708860758,11.59504219409287,3.2857142857142856,239,12.60084388185654,1.1640974663908943
305,Cameron Johnson,PHX,2022-2023,15,73.33333333333333,25.133333333333333,13.466666666666669,0.5358090185676393,4.6,10.2,45.09803921568628,2.6666666666666665,6.066666666666666,43.95604395604396,1.6,2.0,80.0,0.8,3.066666666666667,3.866666666666666,1.4666666666666666,0.5333333333333333,2.75,0.8,0.4,0.5816993464052288,0.6077015643802648,114.92354497354496,105.7436507936508,9.179894179894164,1.8666666666666667,67,10.665873015873016,0.9917619590357161
306,Kenrich Williams,OKC,2022-2023,43,51.16279069767442,22.41860465116279,7.744186046511628,0.3454356846473029,3.232558139534884,6.232558139534884,51.865671641791046,0.9767441860465116,2.4651162790697674,39.62264150943396,0.3023255813953488,0.6976744186046512,43.333333333333336,1.8837209302325584,3.116279069767442,5.0,1.8837209302325584,0.4883720930232558,3.857142857142857,0.7441860465116279,0.2790697674418604,0.5970149253731343,0.5921052631578948,112.36109958506226,108.70860995850624,3.652489626556033,2.0,42,10.084128630705392,0.9781063970560191
307,Darius Bazley,OKC,2022-2023,34,44.11764705882353,15.764705882352942,5.441176470588236,0.3451492537313433,1.9705882352941173,4.529411764705882,43.50649350649351,0.4411764705882353,1.2352941176470589,35.714285714285715,1.0588235294117647,1.911764705882353,55.38461538461539,0.8529411764705882,2.676470588235294,3.5294117647058822,0.9411764705882352,0.6176470588235294,1.5238095238095235,0.5,0.8529411764705882,0.4837662337662338,0.5065717415115005,106.20241187384046,106.05621521335804,0.1461966604824169,1.0,-15,8.43729128014842,0.8593979804650698
308,Eric Gordon,HOU,2022-2023,44,27.27272727272727,30.068181818181817,12.772727272727272,0.4247921390778533,4.363636363636363,10.204545454545457,42.76169265033408,1.7954545454545454,5.2727272727272725,34.05172413793103,2.25,2.772727272727273,81.14754098360656,0.2727272727272727,1.8409090909090908,2.113636363636364,2.7045454545454546,1.681818181818182,1.608108108108108,0.5909090909090909,0.3409090909090909,0.5155902004454342,0.5590037399538473,106.9442351168048,114.80881688018084,-7.864581763376037,0.8636363636363636,-202,7.770082893745291,1.1075511229257031
309,Mike Muscala,OKC,2022-2023,40,45.0,14.35,5.75,0.4006968641114982,1.9,4.5,42.22222222222222,1.175,3.125,37.6,0.775,0.975,79.48717948717949,0.55,2.5,3.05,0.825,0.35,2.357142857142857,0.25,0.45,0.5527777777777778,0.5832826131061067,115.30243055555556,105.4088541666667,9.89357638888886,1.675,137,8.12673611111111,0.9067018573787373
310,Damion Lee,PHX,2022-2023,53,50.943396226415096,22.33962264150944,9.11320754716981,0.4079391891891892,2.962264150943396,6.566037735849057,45.11494252873563,1.7169811320754718,3.716981132075472,46.192893401015226,1.471698113207547,1.6226415094339623,90.69767441860463,0.490566037735849,2.792452830188679,3.2830188679245285,1.4339622641509433,1.1320754716981132,1.2666666666666666,0.4150943396226415,0.0943396226415094,0.5818965517241379,0.6259071117561683,111.29216512215667,107.34321819713558,3.948946925021104,1.5849056603773586,84,9.24591406908172,1.0675386952772143
311,Mikal Bridges,PHX,2022-2023,53,50.943396226415096,36.41509433962264,16.88679245283019,0.4637305699481865,6.188679245283019,13.41509433962264,46.132208157524616,1.8113207547169807,4.622641509433962,39.18367346938776,2.69811320754717,3.0,89.937106918239,0.981132075471698,3.3773584905660377,4.358490566037736,3.641509433962264,1.3773584905660377,2.643835616438356,1.169811320754717,0.8301886792452831,0.5288326300984529,0.5730127023150994,114.89167528438468,114.0160289555326,0.8756463288520848,2.018867924528302,33,9.688779731127198,1.2544076066758487
312,Nassir Little,POR,2022-2023,30,53.333333333333336,16.233333333333334,6.1,0.3757700205338809,2.2666666666666666,4.633333333333334,48.92086330935252,1.0333333333333334,2.333333333333333,44.285714285714285,0.5333333333333333,0.8666666666666667,61.53846153846154,0.4,1.9,2.3,0.8666666666666667,0.5333333333333333,1.625,0.3333333333333333,0.2666666666666666,0.6007194244604317,0.6082159000265887,113.43634496919915,115.57310061601645,-2.136755646817264,0.9,-25,8.276796714579055,0.8389269790249989
313,Tre Mann,OKC,2022-2023,46,45.65217391304348,18.543478260869566,7.956521739130435,0.429073856975381,3.0869565217391304,7.869565217391305,39.226519337016576,1.3043478260869563,4.217391304347826,30.927835051546392,0.4782608695652174,0.6739130434782609,70.96774193548387,0.4130434782608695,1.9782608695652173,2.391304347826087,1.5217391304347827,0.9782608695652174,1.5555555555555556,0.6739130434782609,0.1956521739130435,0.4751381215469613,0.4871685656479608,106.8565420560748,106.13679906542056,0.7197429906542254,1.608695652173913,42,6.211098130841122,1.0022767398196069
314,Keegan Murray,SAC,2022-2023,48,58.333333333333336,29.64583333333333,12.104166666666666,0.4082923401264933,4.3125,9.708333333333334,44.4206008583691,2.4791666666666665,6.0,41.31944444444444,1.0,1.2708333333333333,78.68852459016394,1.1458333333333333,3.3541666666666665,4.5,0.9791666666666666,0.875,1.119047619047619,0.7291666666666666,0.5208333333333334,0.5718884120171673,0.5894407921434949,117.03672752808988,113.91811797752808,3.118609550561814,2.083333333333333,116,7.166502808988767,1.1147691568136642
315,Pascal Siakam,TOR,2022-2023,43,41.86046511627907,37.74418604651163,24.86046511627907,0.6586568083795441,8.837209302325581,18.813953488372093,46.97156983930778,1.2790697674418603,4.069767441860465,31.428571428571427,5.906976744186046,7.6976744186046515,76.73716012084593,1.976744186046512,6.046511627906977,8.023255813953488,6.232558139534884,2.581395348837209,2.414414414414414,0.7209302325581395,0.5813953488372093,0.5037082818294191,0.5598969244950976,116.40203201970444,114.14525862068966,2.256773399014776,3.395348837209302,80,13.656958128078818,1.335316602256613
316,Payton Pritchard,BOS,2022-2023,36,72.22222222222221,12.666666666666666,4.861111111111111,0.3837719298245614,1.8611111111111112,4.638888888888889,40.11976047904192,0.9166666666666666,2.805555555555556,32.67326732673268,0.2222222222222222,0.3333333333333333,66.66666666666666,0.5833333333333334,1.0277777777777777,1.6111111111111112,1.0833333333333333,0.75,1.4444444444444444,0.3333333333333333,0.0277777777777777,0.5,0.5078941258416532,106.42227074235808,104.57183406113538,1.8504366812227035,0.7222222222222222,12,6.311353711790395,0.8586926420240715
317,Jerami Grant,POR,2022-2023,49,46.93877551020408,35.42857142857143,21.22448979591837,0.5990783410138248,7.285714285714286,14.93877551020408,48.77049180327869,2.3877551020408165,5.673469387755102,42.086330935251794,4.26530612244898,5.326530612244898,80.07662835249042,0.9183673469387756,3.36734693877551,4.285714285714286,2.346938775510204,1.7551020408163265,1.337209302325581,0.8571428571428571,0.8163265306122449,0.5676229508196722,0.6140475178309952,116.79493962047152,116.25186889016676,0.5430707303047484,2.326530612244898,33,10.554399079930992,1.2970123562970306
318,Danny Green,MEM,2022-2023,1,0.0,10.0,3.0,0.3,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.375,0.375,90.5,105.0,-14.5,2.0,-2,8.1,0.6011082398541039
319,Gary Trent Jr.,TOR,2022-2023,46,43.47826086956522,33.30434782608695,18.67391304347826,0.5607049608355091,6.5,14.652173913043478,44.36201780415431,2.6739130434782608,7.195652173913044,37.160120845921455,3.0,3.5869565217391304,83.63636363636363,0.4130434782608695,2.0869565217391304,2.5,1.565217391304348,0.9130434782608696,1.7142857142857142,1.6956521739130437,0.2826086956521739,0.5348664688427299,0.5752745780873292,112.52513020833337,114.36204427083337,-1.8369140625,1.7391304347826086,-21,9.35748697916667,1.2380557881976713
320,Isaiah Joe,OKC,2022-2023,43,48.837209302325576,15.046511627906977,7.790697674418604,0.517774343122102,2.511627906976744,5.465116279069767,45.95744680851064,1.930232558139535,4.418604651162791,43.6842105263158,0.8372093023255814,1.0232558139534884,81.81818181818183,0.3488372093023256,1.7906976744186047,2.13953488372093,1.0232558139534884,0.3953488372093023,2.588235294117647,0.6046511627906976,0.1162790697674418,0.6361702127659574,0.6585154898568957,119.04351851851852,106.26867283950614,12.774845679012373,1.4651162790697674,208,10.412499999999998,0.9967678507276074
321,Cam Thomas,BKN,2022-2023,34,64.70588235294117,14.088235294117649,7.352941176470588,0.5219206680584552,2.5588235294117645,5.852941176470588,43.71859296482412,0.5294117647058824,1.4705882352941178,36.0,1.7058823529411764,2.176470588235294,78.37837837837837,0.088235294117647,1.2352941176470589,1.3235294117647058,1.2647058823529411,0.7647058823529411,1.6538461538461535,0.3823529411764705,0.1176470588235294,0.4824120603015075,0.539816894109518,112.74020833333331,108.09020833333334,4.649999999999992,0.8529411764705882,51,8.609791666666668,0.9377245325265877
322,Yuta Watanabe,BKN,2022-2023,38,55.26315789473685,18.289473684210527,6.842105263157895,0.3741007194244604,2.4473684210526314,4.657894736842105,52.54237288135594,1.236842105263158,2.5789473684210527,47.95918367346938,0.7105263157894737,0.9736842105263158,72.97297297297297,0.6842105263157895,1.973684210526316,2.6578947368421053,0.8421052631578947,0.3947368421052631,2.1333333333333333,0.4736842105263157,0.3684210526315789,0.6581920903954802,0.6725993377483444,113.19742120343837,112.97693409742118,0.2204871060171882,1.4736842105263157,9,8.148853868194841,0.9090403749323315
323,Trae Young,ATL,2022-2023,46,52.17391304347826,35.56521739130435,27.02173913043478,0.7597799511002445,8.565217391304348,20.02173913043478,42.77958740499457,2.130434782608696,6.608695652173913,32.23684210526316,7.760869565217392,8.76086956521739,88.58560794044665,0.6521739130434783,2.217391304347826,2.869565217391304,9.934782608695652,4.108695652173913,2.417989417989418,0.9130434782608696,0.1304347826086956,0.4809989142236699,0.5658642290042976,115.11288156288155,113.7541514041514,1.358730158730168,1.5,74,14.149694749694753,1.384379278233014
324,Kevin Huerter,SAC,2022-2023,47,55.319148936170215,30.680851063829788,15.063829787234043,0.4909847434119279,5.468085106382978,11.4468085106383,47.76951672862453,2.765957446808511,6.787234042553192,40.75235109717868,1.3617021276595744,1.9148936170212767,71.11111111111111,0.6170212765957447,2.765957446808511,3.382978723404255,3.0,1.425531914893617,2.1044776119402986,1.0638297872340423,0.2765957446808511,0.5985130111524164,0.6128808864265928,120.04837370242213,114.72034602076124,5.328027681660885,2.48936170212766,191,8.593079584775086,1.1692012379703864
325,Jaden McDaniels,MIN,2022-2023,51,52.94117647058824,31.058823529411764,11.411764705882351,0.3674242424242424,4.490196078431373,8.705882352941176,51.57657657657657,1.2156862745098038,3.235294117647059,37.57575757575757,1.2156862745098038,1.6470588235294117,73.80952380952381,1.3137254901960784,2.549019607843137,3.862745098039216,1.9803921568627447,1.4509803921568627,1.364864864864865,1.0,1.0196078431372548,0.5855855855855856,0.6050399201596807,113.33991172761668,110.04609079445146,3.2938209331652075,3.549019607843137,84,6.390857503152585,1.132454731953005
326,Kelly Olynyk,UTA,2022-2023,41,48.78048780487805,27.902439024390244,11.682926829268292,0.4187062937062937,3.8780487804878048,7.829268292682927,49.53271028037384,1.4146341463414631,3.4878048780487805,40.55944055944056,2.5121951219512195,3.024390243902439,83.06451612903226,1.0731707317073171,3.7804878048780486,4.853658536585366,3.2439024390243905,2.268292682926829,1.4301075268817205,1.048780487804878,0.6341463414634146,0.5856697819314641,0.6377143465757802,116.42696335078531,116.01160558464224,0.4153577661430887,3.902439024390244,-1,8.317713787085516,1.0598634886424974
327,Malik Monk,SAC,2022-2023,49,59.18367346938776,22.489795918367346,13.326530612244898,0.5925589836660617,4.6938775510204085,10.653061224489797,44.06130268199234,1.673469387755102,5.183673469387755,32.28346456692913,2.26530612244898,2.510204081632653,90.2439024390244,0.4693877551020408,2.061224489795918,2.53061224489796,3.918367346938776,1.918367346938776,2.042553191489361,0.673469387755102,0.2244897959183673,0.5191570881226054,0.5667222106505589,110.96427923844062,112.96536718041703,-2.001087941976408,1.5918367346938775,-14,10.714143245693563,1.1437891209496152
328,Ish Wainright,PHX,2022-2023,35,48.57142857142857,14.514285714285714,3.7714285714285714,0.2598425196850393,1.3428571428571427,3.4571428571428573,38.84297520661157,0.8857142857142857,2.5142857142857142,35.22727272727273,0.2,0.2857142857142857,70.0,0.8857142857142857,1.1142857142857143,2.0,1.0285714285714285,0.4571428571428571,2.25,0.7714285714285715,0.2285714285714285,0.5165289256198347,0.5263157894736842,113.64824218750005,105.4494140625,8.198828125000034,1.9714285714285715,65,4.3892578125,0.8005843754456357
329,Onyeka Okongwu,ATL,2022-2023,50,52.0,24.48,9.32,0.380718954248366,3.9,6.06,64.35643564356435,0.02,0.08,25.0,1.5,2.04,73.52941176470588,2.68,4.72,7.4,0.98,1.04,0.9423076923076924,0.66,1.26,0.6452145214521452,0.6697711854662527,111.5897226753671,112.54331158238172,-0.953588907014634,3.26,-29,10.364926590538332,1.04907335733476
330,Seth Curry,BKN,2022-2023,38,65.78947368421053,23.26315789473684,10.657894736842104,0.4581447963800905,3.947368421052632,8.526315789473685,46.2962962962963,1.868421052631579,4.473684210526316,41.76470588235294,0.8947368421052632,0.9210526315789472,97.14285714285714,0.2631578947368421,1.763157894736842,2.026315789473684,2.1052631578947367,1.0789473684210529,1.951219512195122,0.631578947368421,0.1842105263157894,0.5725308641975309,0.5966411314083677,112.48490990990987,113.47736486486488,-0.9924549549549796,1.894736842105263,-1,7.815427927927926,1.0178093449356187
331,Dejounte Murray,ATL,2022-2023,47,51.06382978723404,36.51063829787234,21.21276595744681,0.581002331002331,8.48936170212766,18.27659574468085,46.44935972060536,2.0851063829787235,5.638297872340425,36.9811320754717,2.148936170212766,2.5531914893617023,84.16666666666667,0.723404255319149,4.76595744680851,5.48936170212766,6.127659574468085,2.276595744680851,2.691588785046729,1.6170212765957446,0.3191489361702128,0.5215366705471478,0.5467207720991446,113.16627906976744,113.11843023255815,0.0478488372092869,1.4893617021276595,11,13.02377906976744,1.2969731803494162
332,Moritz Wagner,ORL,2022-2023,31,45.16129032258064,21.516129032258064,11.32258064516129,0.5262368815592204,3.741935483870968,7.516129032258065,49.78540772532189,1.0,3.225806451612903,31.0,2.838709677419355,3.2580645161290325,87.12871287128714,1.4838709677419355,3.741935483870968,5.225806451612903,1.7096774193548387,1.3870967741935485,1.2325581395348837,0.7096774193548387,0.1935483870967742,0.5643776824034334,0.6325692041522492,107.76077844311376,112.05359281437129,-4.292814371257521,2.903225806451613,-56,11.390269461077846,1.0053241948216227
333,Jae'Sean Tate,HOU,2022-2023,14,21.428571428571427,20.642857142857142,7.428571428571429,0.3598615916955017,2.9285714285714284,6.571428571428571,44.56521739130434,0.4285714285714285,1.4285714285714286,30.0,1.1428571428571428,1.4285714285714286,80.0,1.5714285714285714,2.5,4.071428571428571,3.071428571428572,1.7142857142857142,1.7916666666666667,0.7142857142857143,0.1428571428571428,0.4782608695652174,0.5158730158730159,108.77993079584776,112.34290657439443,-3.5629757785467007,3.5,-15,7.17439446366782,0.8110954557680932
